X;Balance
0;6802.4
1;5988.666667
2;5215.333333
3;7524.166667
4;8115.666667
5;9849.166667
6;8748.166667
7;7880.166667
8;6881.166667
9;8382.833333
10;7499.333333
11;5535
12;5266.666667
13;6611.666667
14;5234.666667
15;5840.5
16;5944.166667
17;6594.5
18;5483
19;4951.5
20;5457
21;5514.333333
22;4464
23;5943.166667
24;5793.333333
25;6216.5
26;5895
27;5260.333333
28;5471
29;5617.666667
30;4835.5
31;5299.666667
32;5475.666667
33;6944.5
34;7163.833333
35;7367.666667
36;7908.166667
37;9192.833333
38;8567
39;6197
40;5089.5
41;7248.166667
42;7705.333333
43;6730.833333
44;5996.833333
45;7711.5
46;5446.666667
47;5200.666667
48;5773
49;8952.166667
50;6490.833333
51;5818.166667
52;5936.666667
53;7275
54;5414.5
55;6288.666667
56;6092.833333
57;7289.5
58;5400
59;5618.666667
60;6032.5
61;7582.5
62;5400
63;6359
64;6027.5
65;7287.166667
66;4968
67;4600.5
68;4516.166667
69;5538.666667
70;3690.833333
71;5956.5
72;5991.166667
73;6933.333333
74;4333.333333
75;4765.166667
76;4427.333333
77;5727.5
78;4660.166667
79;6067.166667
80;5893
81;8488.166667
82;6385.333333
83;5887.166667
84;6463.333333
85;8339.666667
86;6428.833333
87;6882.666667
88;7099.166667
89;8732.166667
90;7566.333333
91;6838
92;5977.666667
93;8704.833333
94;7756.833333
95;7200.5
96;6746.833333
97;7687.5
98;7500.5
99;5671
100;5544.166667
101;6701.833333
102;5780.833333
103;6166.5
104;4462.166667
105;5916
106;2324.333333
107;2345.833333
108;1987.666667
109;3517.5
110;2032.166667
111;2681.5
112;4302.333333
113;4808.666667
114;2451.833333
115;2799.5
116;2865.833333
117;3876.333333
118;1634.5
119;3017.5
120;1998.5
121;2236.5
122;389.5
123;-451.8333333
124;-614
125;830.6666667
126;-1575.5
127;400.6666667
128;-1930
129;-1283.5
130;-2284.333333
131;-2422.666667
132;-2478.5
133;-221.6666667
134;-2687.833333
135;-863.5
136;-1508
137;-478.5
138;-1562
139;-1639
140;-1879
141;6.666666667
142;-344.6666667
143;953.5
144;1622.333333
145;2309.333333
146;2264.166667
147;2990.166667
148;2703.333333
149;4267.5
150;4016
151;3781.333333
152;3274.166667
153;4073.166667
154;4516.833333
155;3099.5
156;2819
157;4075.166667
158;3350.666667
159;2726.166667
160;750.5
161;1969.666667
162;1382.166667
163;2794.833333
164;2741.166667
165;3491
166;1692.833333
167;4297.5
168;1139.833333
169;1840.166667
170;297.6666667
171;931
172;1674.666667
173;3563.333333
174;2382.666667
175;3305.666667
176;2496.5
177;3157.833333
178;2546.333333
179;2766.666667
180;1750.5
181;3821.5
182;2052.5
183;3582.166667
184;1684.333333
185;2065.166667
186;2795.5
187;4096.833333
188;3345.333333
189;5146.333333
190;3150.333333
191;4626.333333
192;1646.333333
193;1016
194;826.8333333
195;1557
196;1078.333333
197;2432.333333
198;1734.166667
199;2238
200;3439.5
201;3056.166667
202;2875.333333
203;4417.333333
204;4515.333333
205;5713.5
206;6477
207;6407.333333
208;5339.5
209;5057.666667
210;5705.666667
211;6213.833333
212;7085.833333
213;7205
214;6678.5
215;6761
216;4243.166667
217;5884.166667
218;4867.666667
219;5682.166667
220;6283.666667
221;7629.166667
222;7136.5
223;8047.666667
224;6887.5
225;8030.5
226;7276.833333
227;9401.333333
228;8903
229;9469.833333
230;8517
231;9320.333333
232;9068.333333
233;9168.333333
234;8976
235;9757
236;10079.5
237;10576.5
238;9389.166667
239;9358
240;8936.666667
241;8896
242;8460
243;8726.166667
244;8821.166667
245;9249.5
246;8612.166667
247;9350
248;8363.833333
249;8745.666667
250;7772.666667
251;8343.666667
252;8291.333333
253;9930.666667
254;8012.833333
255;6895.333333
256;8317.166667
257;10191.5
258;8956.666667
259;7347.166667
260;6619.333333
261;8629.333333
262;7089.666667
263;5996.666667
264;4198.833333
265;4574.666667
266;3670.833333
267;4302.5
268;5217.666667
269;6741.333333
270;7463.666667
271;8476
272;6267.333333
273;7075.166667
274;4907
275;6453.833333
276;6902.666667
277;8347.5
278;6204.166667
279;7546.333333
280;7626.333333
281;9369.666667
282;7532
283;7908
284;7002.166667
285;6417
286;5091.833333
287;5980
288;5822.166667
289;8378
290;5832.833333
291;4111
292;3879.333333
293;6230.5
294;2556.666667
295;3971.833333
296;2872.5
297;4035.166667
298;1476.333333
299;1720
300;1810.5
301;3689.5
302;1413.666667
303;2816.5
304;1663.166667
305;1179.333333
306;1611.5
307;1899.833333
308;2992.5
309;5044.166667
310;2805.166667
311;2914.166667
312;2973.166667
313;2938
314;2769.5
315;2596.833333
316;3333.333333
317;4518.5
318;3475.5
319;3660.666667
320;3566.5
321;3709.833333
322;3683.166667
323;4324.333333
324;4791.666667
325;5678.166667
326;5602.333333
327;5890.166667
328;4029.833333
329;4685.5
330;2784.5
331;2800.5
332;2962.833333
333;3869
334;1171.666667
335;3305.666667
336;2702.166667
337;2726.5
338;865.5
339;1343.5
340;1897.333333
341;2800.666667
342;1371
343;3022.5
344;2199.5
345;2443.666667
346;1211
347;964.1666667
348;1001.166667
349;2364.666667
350;393.5
351;2386.166667
352;1944.666667
353;2350.666667
354;1616.333333
355;2326.166667
356;2939.833333
357;5105.5
358;3544.166667
359;5367.5
360;4911.166667
361;5838.333333
362;3899.333333
363;3992.5
364;5367.333333
365;7575.833333
366;5196.666667
367;5319.166667
368;5846.666667
369;5730.833333
370;5799.333333
371;6691
372;6915.666667
373;8646.5
374;7005.166667
375;6924.666667
376;5692.166667
377;5963
378;5801.166667
379;5251.333333
380;6818.166667
381;9571.666667
382;6895
383;6455
384;5561.5
385;5792.5
386;4168.166667
387;5014
388;6342
389;9397.666667
390;6188.833333
391;5844.833333
392;2872.333333
393;3326
394;1392.166667
395;1538.166667
396;4020.333333
397;7000.5
398;4494.166667
399;4330.333333
400;3234.833333
401;3663.5
402;2335.166667
403;1668.5
404;2942.166667
405;5357.166667
406;3922.333333
407;4490.666667
408;2777.166667
409;1735.166667
410;-210
411;1175.666667
412;3141.5
413;5294.5
414;2819.833333
415;3940.333333
416;1101.166667
417;277.8333333
418;262.1666667
419;1655.166667
420;1886.166667
421;2795
422;1226.333333
423;280.6666667
424;-1656.833333
425;-786.6666667
426;395.8333333
427;-523.5
428;-1586
429;-412.6666667
430;-511.6666667
431;-185.3333333
432;-1975.333333
433;-1588.333333
434;-1584.333333
435;-717.6666667
436;45
437;1503
438;459.1666667
439;-343.6666667
440;-3119.5
441;-2695.666667
442;-3375.166667
443;-2383
444;-3391.833333
445;-2429.5
446;-3188.166667
447;-2209.5
448;-2752.333333
449;-2469
450;-2489.166667
451;-2077
452;-1233.166667
453;1035.333333
454;-1262
455;-1292.666667
456;-2080.333333
457;-1240.833333
458;-1414.833333
459;-837.3333333
460;311.3333333
