YYMM;YY;balance
1301;13;-9
1301;13;-760
1301;13;-694
1301;13;-381
1301;13;-329
1301;13;-417
1301;13;-358
1301;13;-511
1301;13;-639
1301;13;-1291
1301;13;-1124
1301;13;-688
1301;13;-424
1301;13;-470
1301;13;-2182
1301;13;-2505
1301;13;-2222
1301;13;-1529
1301;13;-521
1301;13;-450
1301;13;-298
1301;13;-26
1301;13;-811
1301;13;-1462
1301;13;-1420
1301;13;-2601
1301;13;-2379
1301;13;-1750
1301;13;-791
1301;13;-925
1301;13;-1751
1301;13;-2810
1301;13;-2794
1301;13;-2049
1301;13;-2184
1301;13;-2377
1301;13;-2448
1301;13;-2442
1301;13;-2437
1301;13;-2627
1301;13;-2804
1301;13;-3240
1301;13;-3281
1301;13;-2220
1301;13;-2338
1301;13;-970
1301;13;-1041
1301;13;-304
1301;13;-327
1301;13;-475
1301;13;-833
1301;13;-3958
1301;13;-3885
1301;13;-3238
1301;13;-2670
1301;13;-1520
1301;13;-1559
1301;13;-204
1301;13;-121
1301;13;-569
1301;13;-868
1301;13;-1819
1301;13;-1915
1301;13;-513
1301;13;-593
1301;13;-361
1301;13;-204
1301;13;-587
1301;13;-1415
1301;13;-2604
1301;13;-2275
1301;13;-1888
1301;13;-1869
1301;13;-1489
1301;13;-1388
1301;13;-1413
1301;13;-1646
1301;13;-1959
1301;13;-2087
1301;13;-2260
1301;13;-2320
1301;13;-1751
1301;13;-1903
1301;13;-887
1301;13;-982
1301;13;-163
1301;13;-793
1301;13;-897
1301;13;-522
1301;13;-577
1301;13;-62
1302;13;-483
1302;13;-331
1302;13;-550
1302;13;-200
1302;13;-567
1302;13;-272
1302;13;-237
1302;13;-533
1302;13;-5
1302;13;-412
1302;13;-132
1302;13;-366
1302;13;-592
1302;13;-2997
1302;13;-2894
1302;13;-2734
1302;13;-2029
1302;13;-457
1302;13;-213
1302;13;-690
1302;13;-691
1302;13;-1369
1302;13;-1500
1302;13;-2400
1302;13;-2095
1302;13;-1347
1302;13;-1506
1302;13;-584
1302;13;-502
1302;13;-237
1302;13;-35
1302;13;-748
1302;13;-305
1302;13;-698
1302;13;-1204
1302;13;-745
1302;13;-895
1302;13;-2218
1302;13;-1884
