Regions;YYMM;YY;MM;Capa_Thermique;Capa_Solaire;Capa_Hydraulique;Capa_Nucleaire;Capa_Eolien;Capa_Renouvelable;Capa_Totale
AURA;1301;13;1;0;412.8064516;11660;13570;357;12429.80645;25999.80645
AURA;1302;13;2;0;417.9642857;11660;13570;357;12434.96429;26004.96429
AURA;1303;13;3;0;423.1935484;11660;13570;357;12440.19355;26010.19355
AURA;1304;13;4;0;428.5;11660;13570;357;12445.5;26015.5
AURA;1305;13;5;0;433.8064516;11660;13570;357;12450.80645;26020.80645
AURA;1306;13;6;0;439.2333333;11660;13570;357;12456.23333;26026.23333
AURA;1307;13;7;0;444.516129;11660;13570;357;12461.51613;26031.51613
AURA;1308;13;8;0;450;11660;13570;357;12467;26037
AURA;1309;13;9;0;455.3333333;11660;13570;357;12472.33333;26042.33333
AURA;1310;13;10;0;460.6451613;11660;13570;357;12477.64516;26047.64516
AURA;1311;13;11;0;466.0333333;11660;13570;357;12483.03333;26053.03333
AURA;1312;13;12;0;471.3548387;11660;13570;357;12488.35484;26058.35484
AURA;1401;14;1;0;478.7419355;11660;13570;357.8064516;12496.54839;26066.54839
AURA;1402;14;2;0;487.6071429;11660;13570;359.3928571;12507;26077
AURA;1403;14;3;0;496.4193548;11660;13570;360.8709677;12517.29032;26087.29032
AURA;1404;14;4;0;505.5;11660;13570;362.5;12528;26098
AURA;1405;14;5;0;514.6129032;11660;13570;364.0967742;12538.70968;26108.70968
AURA;1406;14;6;0;523.7;11660;13570;365.6;12549.3;26119.3
AURA;1407;14;7;0;532.8387097;11660;13570;367.3225806;12560.16129;26130.16129
AURA;1408;14;8;0;542.0967742;11660;13570;368.8387097;12570.93548;26140.93548
AURA;1409;14;9;0;551.2;11660;13570;370.4666667;12581.66667;26151.66667
AURA;1410;14;10;0;560.2903226;11660;13570;372.0645161;12592.35484;26162.35484
AURA;1411;14;11;0;569.4;11660;13570;373.6;12603;26173
AURA;1412;14;12;0;578.5483871;11660;13570;375.2580645;12613.80645;26183.80645
AURA;1501;15;1;0;585.8064516;11660;13570;377.0967742;12622.90323;26192.90323
AURA;1502;15;2;0;590.9642857;11660;13570;379.2142857;12630.17857;26200.17857
AURA;1503;15;3;0;596.1935484;11660;13570;381.2903226;12637.48387;26207.48387
AURA;1504;15;4;0;601.5;11660;13570;383.5;12645;26215
AURA;1505;15;5;0;606.8064516;11660;13570;385.7096774;12652.51613;26222.51613
AURA;1506;15;6;0;612.2333333;11660;13570;387.8666667;12660.1;26230.1
AURA;1507;15;7;0;617.516129;11660;13570;390.0322581;12667.54839;26237.54839
AURA;1508;15;8;0;623;11660;13570;392.2258065;12675.22581;26245.22581
AURA;1509;15;9;0;628.3333333;11660;13570;394.4;12682.73333;26252.73333
AURA;1510;15;10;0;633.6451613;11660;13570;396.6451613;12690.29032;26260.29032
AURA;1511;15;11;0;639.0333333;11660;13570;398.8;12697.83333;26267.83333
AURA;1512;15;12;0;644.3548387;11660;13570;400.9677419;12705.32258;26275.32258
AURA;1601;16;1;0;649.4516129;11660;13570;403.7419355;12713.19355;26283.19355
AURA;1602;16;2;0;654.0344828;11660;13570;407.137931;12721.17241;26291.17241
AURA;1603;16;3;0;658.6129032;11660;13570;410.5483871;12729.16129;26299.16129
AURA;1604;16;4;0;663.3;11660;13570;413.9333333;12737.23333;26307.23333
AURA;1605;16;5;0;667.9677419;11660;13570;417.3548387;12745.32258;26315.32258
AURA;1606;16;6;0;672.6333333;11660;13570;420.7;12753.33333;26323.33333
AURA;1607;16;7;0;677.2903226;11660;13570;424.2580645;12761.54839;26331.54839
AURA;1608;16;8;0;682.0322581;11660;13570;427.6451613;12769.67742;26339.67742
AURA;1609;16;9;0;686.7;11660;13570;431.0666667;12777.76667;26347.76667
AURA;1610;16;10;0;691.3870968;11660;13570;434.4516129;12785.83871;26355.83871
AURA;1611;16;11;0;696.0333333;11660;13570;437.9333333;12793.96667;26363.96667
AURA;1612;16;12;0;700.7096774;11660;13570;441.3548387;12802.06452;26372.06452
AURA;1701;17;1;0;706.1935484;11660;13570;445.483871;12811.67742;26381.67742
AURA;1702;17;2;0;712.1071429;11660;13570;450.0714286;12822.17857;26392.17857
AURA;1703;17;3;0;718;11660;13570;454.7096774;12832.70968;26402.70968
AURA;1704;17;4;0;724.1;11660;13570;459.4666667;12843.56667;26413.56667
AURA;1705;17;5;0;730.1935484;11660;13570;464.2258065;12854.41935;26424.41935
AURA;1706;17;6;0;736.3;11660;13570;469;12865.3;26435.3
AURA;1707;17;7;0;742.3870968;11660;13570;473.7741935;12876.16129;26446.16129
AURA;1708;17;8;0;748.6129032;11660;13570;478.6129032;12887.22581;26457.22581
AURA;1709;17;9;0;754.7;11660;13570;483.3666667;12898.06667;26468.06667
AURA;1710;17;10;0;760.8064516;11660;13570;488.1290323;12908.93548;26478.93548
AURA;1711;17;11;0;766.9;11660;13570;492.9333333;12919.83333;26489.83333
AURA;1712;17;12;0;773;11660;13570;497.6774194;12930.67742;26500.67742
AURA;1801;18;1;0;783.2580645;11660;13570;502.2903226;12945.54839;26515.54839
AURA;1802;18;2;0;796.6785714;11660;13570;506.6428571;12963.32143;26533.32143
AURA;1803;18;3;0;810.0967742;11660;13570;510.8709677;12980.96774;26550.96774
AURA;1804;18;4;0;823.9666667;11660;13570;515.3333333;12999.3;26569.3
AURA;1805;18;5;0;837.8064516;11660;13570;519.7419355;13017.54839;26587.54839
AURA;1806;18;6;0;851.6666667;11660;13570;524.2;13035.86667;26605.86667
AURA;1807;18;7;0;865.6451613;11660;13570;528.5806452;13054.22581;26624.22581
AURA;1808;18;8;0;879.7419355;11660;13570;533.1290323;13072.87097;26642.87097
AURA;1809;18;9;0;893.5666667;11660;13570;537.5;13091.06667;26661.06667
AURA;1810;18;10;0;907.4516129;11660;13570;542;13109.45161;26679.45161
AURA;1811;18;11;0;921.3333333;11660;13570;546.3333333;13127.66667;26697.66667
AURA;1812;18;12;0;935.1935484;11660;13570;550.8709677;13146.06452;26716.06452
AURA;1901;19;1;0;947.516129;11660;13570;553;13160.51613;26730.51613
AURA;1902;19;2;0;957.6785714;11660;13570;553;13170.67857;26740.67857
AURA;1903;19;3;0;967.9032258;11660;13570;553;13180.90323;26750.90323
AURA;1904;19;4;0;978.4;11660;13570;553;13191.4;26761.4
AURA;1905;19;5;0;988.9354839;11660;13570;553;13201.93548;26771.93548
AURA;1906;19;6;0;999.4666667;11660;13570;553;13212.46667;26782.46667
AURA;1907;19;7;0;1010;11660;13570;553;13222.03226;26792.03226
AURA;1908;19;8;0;1020.741935;11660;13570;553;13232.74194;26802.74194
AURA;1909;19;9;0;1031.233333;11660;13570;553;13243.23333;26813.23333
AURA;1910;19;10;0;1041.774194;11660;13570;553;13253.77419;26823.77419
AURA;1911;19;11;0;1052.3;11660;13570;553;13264.3;26834.3
AURA;1912;19;12;0;1062.83871;11660;13570;553;13274.83871;26844.83871
AURA;2001;20;1;0;1073.322581;11660;13570;553.2580645;13286.58065;26856.58065
AURA;2002;20;2;0;1083.344828;11660;13570;555.8275862;13299.17241;26869.17241
AURA;2003;20;3;0;1093.322581;11660;13570;558.1612903;13311.48387;26881.48387
AURA;2004;20;4;0;1103.5;11660;13570;560.8;13324.3;26894.3
AURA;2005;20;5;0;1113.677419;11660;13570;563.1612903;13336.83871;26906.83871
AURA;2006;20;6;0;1123.833333;11660;13570;565.8;13349.63333;26919.63333
AURA;2007;20;7;0;1134;11660;13570;568.1612903;13362.16129;26932.16129
AURA;2008;20;8;0;1144.322581;11660;13570;570.8387097;13375.16129;26945.16129
AURA;2009;20;9;0;1154.5;11660;13570;573.2;13387.7;26957.7
AURA;2010;20;10;0;1164.677419;11660;13570;575.8387097;13400.51613;26970.51613
AURA;2011;20;11;0;1174.833333;11660;13570;578.2;13413.03333;26983.03333
AURA;2012;20;12;0;1185;11660;13570;580.8387097;13425.83871;26995.83871
AURA;2101;21;1;0;1203.258065;11660;13570;586.516129;13449.77419;27019.77419
AURA;2102;21;2;0;1227.785714;11660;13570;594.8571429;13482.64286;27052.64286
AURA;2103;21;3;0;1252.258065;11660;13570;603.1290323;13515.3871;27085.3871
AURA;2104;21;4;0;1277.6;11660;13570;611.8;13549.4;27119.4
AURA;2105;21;5;0;1302.903226;11660;13570;620.3870968;13583.29032;27153.29032
AURA;2106;21;6;0;1328.2;11660;13570;629;13617.2;27187.2
AURA;2107;21;7;0;1353.548387;11660;13570;637.5806452;13651.12903;27221.12903
AURA;2108;21;8;0;1379.258065;11660;13570;646.3225806;13685.58065;27255.58065
AURA;2109;21;9;0;1404.6;11660;13570;654.9333333;13719.53333;27289.53333
AURA;2110;21;10;0;1429.903226;11660;13570;663.5806452;13753.48387;27323.48387
B;1301;13;1;0;133.6774194;275;0;751.3870968;1160.064516;1160.064516
B;1302;13;2;0;135.1785714;275;0;754;1164.178571;1164.178571
B;1303;13;3;0;136.483871;275;0;756.5806452;1168.064516;1168.064516
B;1304;13;4;0;137.8666667;275;0;759.2333333;1172.1;1172.1
B;1305;13;5;0;139.3870968;275;0;761.9354839;1176.322581;1176.322581
B;1306;13;6;0;140.6666667;275;0;764.6333333;1180.3;1180.3
B;1307;13;7;0;142.2580645;275;0;767.2258065;1184.483871;1184.483871
B;1308;13;8;0;143.5806452;275;0;770;1188.580645;1188.580645
B;1309;13;9;0;145.0666667;275;0;772.6666667;1192.733333;1192.733333
B;1310;13;10;0;146.483871;275;0;775.3225806;1196.806452;1196.806452
B;1311;13;11;0;147.8333333;275;0;778;1200.833333;1200.833333
B;1312;13;12;0;149.3548387;275;0;780.7096774;1205.064516;1205.064516
B;1401;14;1;0;150.6774194;275;0;783.9032258;1209.580645;1209.580645
B;1402;14;2;0;152.1785714;275;0;787.5;1214.678571;1214.678571
B;1403;14;3;0;153.483871;275;0;791.0322581;1219.516129;1219.516129
