YYMM;YY;MM;Regions;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Production;Renouvelable;Balance
1301;13;1;AURA;14455649;565977;19264589;130835;27494;6070182;-612641;103065;25549501;5718935;11093852
1301;13;1;B;5055739;94521;0;235349;7645;112716;-8719;25014;466526;372005;-4589213
1301;13;1;BFC;4704866;487702;0;42601;4347;241036;-6;20181;795861;308159;-3909005
1301;13;1;CVDL;4418962;142685;15413978;243996;6996;47386;0;33722;15888763;332100;11469801
1301;13;1;GE;9732409;3041047;14501127;550854;14825;1621295;-230275;87938;19586811;2044637;9854402
1301;13;1;HF;11056438;1655356;7314899;533164;2851;1486;0;103008;9610764;640509;-1445674
1301;13;1;IDF;16826536;1511681;0;5861;1614;86;0;187515;1706757;195076;-15119779
1301;13;1;N;6496893;1359372;14923798;172793;3332;28783;0;75817;16563895;280725;10067002
1301;13;1;NlleA;9828102;378586;9591748;121825;47028;929447;0;202623;11271257;1300923;1443155
1301;13;1;O;8618360;153116;3698196;415368;68410;2409534;-353245;107533;6498912;2647600;-2119448
1301;13;1;PACA;9198006;1551131;0;24333;76094;2153863;-58;93777;3899140;2348009;-5298866
1301;13;1;PDL;6123395;1634777;0;150847;14908;2323;0;49781;1852636;217859;-4270759
1302;13;2;AURA;13605248;475746;16616815;131009;41655;5598065;-443817;82818;22502291;5409730;8897043
1302;13;2;B;4638212;86293;0;245074;14435;94298;-7040;24885;457945;371652;-4180267
1302;13;2;BFC;4406255;420302;0;49090;10603;247337;0;18512;745844;325542;-3660411
1302;13;2;CVDL;4141006;116908;13980033;299844;14658;53641;0;32163;14497247;400306;10356241
1302;13;2;GE;9179833;3744943;12169521;664312;28165;1410734;-178145;79225;17918755;2004291;8738922
1302;13;2;HF;10060859;1613401;5912332;566387;8029;1339;0;91135;8192623;666890;-1868236
1302;13;2;IDF;15613449;1342749;0;6789;4251;8;0;173797;1527594;184845;-14085855
1302;13;2;N;6028259;1363271;12634684;177160;7393;21810;0;70974;14275292;277337;8247033
1302;13;2;NlleA;8963998;321708;8744393;139551;84816;1139804;0;185632;10615904;1549803;1651906
1302;13;2;O;7752824;111573;3421011;416915;106364;2791829;-316515;92861;6624038;3091454;-1128786
1302;13;2;PACA;8547998;1289123;0;23479;92626;2166880;-31;84599;3656676;2367553;-4891322
1302;13;2;PDL;5721150;1813103;0;191716;28794;2586;0;44853;2081052;267949;-3640098
1303;13;3;AURA;13293588;437527;16343857;124316;68253;5148910;-609377;101623;21615109;4833725;8321521
1303;13;3;B;4913508;95224;0;239614;20449;99640;-6859;26773;474841;379617;-4438667
1303;13;3;BFC;4383280;417864;0;42604;19835;167134;0;20933;668370;250506;-3714910
1303;13;3;CVDL;4067202;125727;13686620;251326;23267;31671;0;40535;14159146;346799;10091944
1303;13;3;GE;9396491;3395135;13434720;631826;59101;1388330;-223574;91441;18776979;1947124;9380488
1303;13;3;HF;10490636;1539762;5188136;549111;13566;1499;0;100278;7392352;664454;-3098284
1303;13;3;IDF;15582496;1544133;0;5255;7519;5987;0;176462;1739356;195223;-13843140
1303;13;3;N;6290628;1409635;12573897;145041;10637;30351;0;70005;14239566;256034;7948938
1303;13;3;NlleA;8653280;317297;8803136;132861;135957;909294;0;213795;10512340;1391907;1859060
1303;13;3;O;7378251;173080;3597812;373913;152131;2863556;-360601;106655;6906546;3135654;-471705
1303;13;3;PACA;8274568;1511287;0;21199;113023;2064457;0;63917;3773883;2262596;-4500685
1303;13;3;PDL;5768445;1622580;0;172555;42423;2940;0;55102;1895600;273020;-3872845
1304;13;4;AURA;10929625;78801;14807580;110378;78654;5880660;-699034;76124;20333163;5446782;9403538
1304;13;4;B;4030591;3678;0;333355;32531;82488;-5083;21459;468428;464750;-3562163
1304;13;4;BFC;3590999;66106;0;50391;27851;191059;-68;14909;350248;284142;-3240751
1304;13;4;CVDL;3216031;12600;10903923;270265;34381;45377;0;24622;11291168;374645;8075137
1304;13;4;GE;7774641;1807523;13309418;724457;82900;1664627;-212058;59514;17436381;2319440;9661740
1304;13;4;HF;8692895;838290;4323201;599783;23934;1444;0;78202;5864854;703363;-2828041
1304;13;4;IDF;12457808;395202;0;6476;12393;7542;0;153217;574830;179628;-11882978
1304;13;4;N;5076206;917648;10600232;185333;19618;27482;0;66770;11817083;299203;6740877
1304;13;4;NlleA;7083239;72427;5544436;112438;164146;1016194;0;179814;7089455;1472592;6216
1304;13;4;O;6042499;2132;3449599;365283;171575;2737434;-168785;70351;6627589;3175858;585090
1304;13;4;PACA;6647242;978766;0;13816;128395;2580432;-488;57435;3758356;2779590;-2888886
1304;13;4;PDL;4727256;909280;0;191962;62781;3246;0;44142;1211411;302131;-3515845
1305;13;5;AURA;10247670;44056;15047708;112269;101820;7467792;-693357;92089;22172377;7080613;11924707
1305;13;5;B;3362309;3578;0;228230;35751;72227;-6146;28409;362049;358471;-3000260
1305;13;5;BFC;3444415;41735;0;36080;29947;241026;-11;20535;369312;327577;-3075103
1305;13;5;CVDL;2870185;10445;11036612;201529;36198;49996;0;42829;11377609;330552;8507424
1305;13;5;GE;7238021;511100;13975171;446110;84603;1936507;-179949;63323;16836865;2350594;9598844
1305;13;5;HF;8211442;493442;4944881;464861;24017;1532;0;95794;6024527;586204;-2186915
1305;13;5;IDF;11149587;84374;0;4492;13259;230;0;172333;274688;190314;-10874899
1305;13;5;N;4457126;737560;9044176;136168;20760;14985;0;64009;10017658;235922;5560532
1305;13;5;NlleA;6682801;43839;4722576;82053;166725;1067592;0;186058;6268843;1502428;-413958
1305;13;5;O;5458026;-3571;3494154;426692;213044;3076571;-470013;109081;6845958;3355375;1387932
1305;13;5;PACA;6141604;541530;0;20004;178668;3071537;-110;54922;3866551;3325021;-2275053
1305;13;5;PDL;4060453;396820;0;132277;67785;2190;0;50193;649265;252445;-3411188
1306;13;6;AURA;9229492;71983;12567043;128961;120045;6484027;-614586;87210;18844683;6205657;9615191
1306;13;6;B;2925710;2064;0;201566;35917;83516;-8758;27281;341586;339522;-2584124
1306;13;6;BFC;3049060;40440;0;36671;38436;161244;0;12260;289051;248611;-2760009
1306;13;6;CVDL;2409005;10264;9432563;203677;39535;21641;0;39606;9747286;304459;7338281
1306;13;6;GE;6600991;423138;11622738;500716;111274;1861225;-198681;65103;14385513;2339637;7784522
1306;13;6;HF;7386389;443014;5254773;486855;26789;1453;0;88922;6301806;604019;-1084583
1306;13;6;IDF;9986972;185205;0;4535;14639;6080;0;166779;377238;192033;-9609734
1306;13;6;N;3964106;404202;9634723;132467;22853;15674;0;50093;10260012;221087;6295906
1306;13;6;NlleA;5815162;42031;5633931;74668;180602;911188;0;189403;7031823;1355861;1216661
1306;13;6;O;4811170;23619;3016240;397606;229925;2368525;-409240;104549;5731224;2691365;920054
1306;13;6;PACA;5857865;328344;0;21577;199010;2698943;-474;46868;3294268;2965924;-2563597
1306;13;6;PDL;3619391;328920;0;117546;71508;1086;0;47737;566797;237877;-3052594
1307;13;7;AURA;9702577;58052;12076433;70882;137878;5840128;-492150;84125;17775348;5640863;8072771
1307;13;7;B;3028803;1953;0;174094;44466;68430;-5867;39269;322345;320392;-2706458
1307;13;7;BFC;3120712;38938;0;34211;46206;89078;0;12102;220535;181597;-2900177
1307;13;7;CVDL;2654098;8967;10605637;192782;50129;5707;0;43037;10906259;291655;8252161
1307;13;7;GE;6753599;930919;12803829;450398;128758;1832640;-228023;62617;15981138;2246390;9227539
1307;13;7;HF;7487679;560272;6230655;339523;33158;1473;0;103457;7268538;477611;-219141
1307;13;7;IDF;10025514;164970;0;4137;18479;13046;0;214285;414917;249947;-9610597
1307;13;7;N;4052105;756722;11154426;93060;27390;20937;0;62259;12114794;203646;8062689
1307;13;7;NlleA;6452060;41924;5393866;91393;237050;557336;0;189247;6510816;1075026;58756
1307;13;7;O;5503872;-3260;3062804;151554;267215;2140252;-379073;105492;5344984;2285440;-158888
1307;13;7;PACA;6462303;311619;0;8558;201823;2165025;-603;92115;2778537;2466918;-3683766
1307;13;7;PDL;3848657;335091;0;128546;86485;61;0;50720;600903;265812;-3247754
1308;13;8;AURA;8581173;60972;12948038;93048;127855;4201648;-573714;94152;16951999;3942989;8370826
1308;13;8;B;2865873;1159;0;119745;41043;79030;-8589;44796;277184;276025;-2588689
1308;13;8;BFC;2661854;52413;0;21922;42644;67653;0;17668;202300;149887;-2459554
1308;13;8;CVDL;2386577;8937;8513375;131234;46522;4300;0;47624;8751992;229680;6365415
1308;13;8;GE;5989952;992057;12424184;281116;113980;1375542;-158940;65326;15093265;1677024;9103313
1308;13;8;HF;6721082;608557;5305843;286848;27702;466;0;102581;6331997;417597;-389085
1308;13;8;IDF;8874986;183089;0;2760;15676;10057;0;189480;401062;217973;-8473924
1308;13;8;N;3751453;677979;12525968;82162;24937;20877;0;67437;13399360;195413;9647907
1308;13;8;NlleA;6105467;38937;6506484;60506;213842;190467;0;196678;7206914;661493;1101447
1308;13;8;O;5172657;-2520;1531593;275139;230577;1550070;-479420;106141;3211580;1682507;-1961077
1308;13;8;PACA;6177994;574565;0;14107;199512;1535922;-11375;94033;2406764;1832199;-3771230
1308;13;8;PDL;3476252;810471;0;91490;83955;0;0;47104;1033020;222549;-2443232
1309;13;9;AURA;9145175;87522;12464761;99100;95853;3603969;-529634;90519;15912090;3359807;6766915
1309;13;9;B;2935126;1464;0;134400;28872;75675;-7161;34581;267831;266367;-2667295
1309;13;9;BFC;3035626;103747;0;34033;30233;224945;-7;20850;413801;310054;-2621825
1309;13;9;CVDL;2469358;8693;8396159;180842;30642;1195;0;38665;8656196;251344;6186838
1309;13;9;GE;6780218;1732691;11592858;465040;82541;1332867;-129741;58281;15134537;1808988;8354319
1309;13;9;HF;7481820;518349;5105197;333497;20602;440;0;97331;6075416;451870;-1406404
1309;13;9;IDF;9952434;409520;0;4036;10435;9410;0;144340;577741;168221;-9374693
1309;13;9;N;4006065;748082;11429037;100199;16876;20760;0;59191;12374145;197026;8368080
1309;13;9;NlleA;5933907;42423;7429855;80119;157292;215223;0;180952;8105864;633586;2171957
1309;13;9;O;4923369;-3268;3042165;319571;195595;1212335;-392798;98225;4471825;1432928;-451544
1309;13;9;PACA;5768192;831059;0;14595;167312;1498992;-8599;95203;2598562;1767503;-3169630
1309;13;9;PDL;3619397;1065879;0;113592;58534;0;0;39352;1277357;211478;-2342040
1310;13;10;AURA;10115207;82359;12688331;160520;60004;4611405;-610283;78361;17070697;4300007;6955490
1310;13;10;B;3297035;8097;0;271419;20264;78898;-8365;36693;407006;398909;-2890029
1310;13;10;BFC;3462394;60650;0;61714;19944;152054;-48;17881;312195;251545;-3150199
1310;13;10;CVDL;2839080;15804;8996513;270741;20375;9314;0;49999;9362746;350429;6523666
1310;13;10;GE;7721340;2233509;10605180;768354;51196;1456161;-155788;75934;15034546;2195857;7313206
1310;13;10;HF;8487221;716865;6147541;751513;12333;1100;0;95327;7724679;860273;-762542
1310;13;10;IDF;11406106;404293;0;6782;6912;7135;0;188328;613450;209157;-10792656
1310;13;10;N;4590402;863176;11913221;215080;10759;19266;0;62189;13083691;307294;8493289
1310;13;10;NlleA;6408742;90722;8260005;128828;119329;404443;0;160546;9163873;813146;2755131
1310;13;10;O;5179414;5158;3473239;368464;146991;1383350;-426505;107045;5057742;1579345;-121672
1310;13;10;PACA;6072433;877132;0;16885;111364;1523488;-13394;74710;2590185;1713053;-3482248
1310;13;10;PDL;4052265;1172718;0;175888;38348;64;0;46792;1433810;261092;-2618455
1311;13;11;AURA;12301003;307677;14160915;152784;33340;5796365;-672814;113830;19892097;5423505;7591094
1311;13;11;B;4089256;103218;0;282632;10251;76356;-7150;36126;501433;398215;-3587823
1311;13;11;BFC;4092283;252209;0;78416;9879;163751;-13;21440;525682;273473;-3566601
1311;13;11;CVDL;3693293;107154;11576484;383522;11422;37829;0;50396;12166807;483169;8473514
1311;13;11;GE;8715561;2755421;14759613;875129;24535;1544974;-198984;92567;19853255;2338221;11137694
1311;13;11;HF;9591397;1425882;6453148;670203;5403;1438;0;121142;8677216;798186;-914181
1311;13;11;IDF;14152841;920443;0;8404;3288;39;0;174079;1106253;185810;-13046588
1311;13;11;N;5518722;1115660;12754329;210297;5836;13501;0;75507;14175130;305141;8656408
1311;13;11;NlleA;8230855;156062;6849082;184646;59569;1065787;0;196894;8512040;1506896;281185
1311;13;11;O;7008850;78508;2645892;490310;84608;2223312;-381483;114985;5256132;2531732;-1752718
1311;13;11;PACA;7573302;1138244;0;25972;77850;1646343;-12964;64673;2940118;1801874;-4633184
1311;13;11;PDL;5126101;1404642;0;235073;23513;2876;0;49411;1715515;310873;-3410586
1312;13;12;AURA;13600860;327427;18786308;156993;44034;5032591;-820842;117710;23644221;4530486;10043361
1312;13;12;B;4647978;113937;0;337273;9952;96884;-9324;37954;586676;472739;-4061302
1312;13;12;BFC;4459180;157319;0;73502;13209;160923;0;22348;427301;269982;-4031879
1312;13;12;CVDL;4200814;114292;13997597;405053;14438;23905;0;53830;14609115;497226;10408301
1312;13;12;GE;9195249;2736634;15162622;991495;26629;1311974;-211151;93431;20111634;2212378;10916385
1312;13;12;HF;10205480;1408965;8045589;923429;6900;1946;0;123938;10510767;1056213;305287
1312;13;12;IDF;15381275;887848;0;9535;3737;4155;0;200267;1105542;217694;-14275733
1312;13;12;N;5860348;1044885;14772925;269483;5922;21247;0;66090;16180552;362742;10320204
1312;13;12;NlleA;9377774;166896;6342339;202296;84495;709989;0;181403;7687418;1178183;-1690356
1312;13;12;O;8187511;97608;3687067;376556;104060;2177702;-401243;112807;6154557;2369882;-2032954
1312;13;12;PACA;8693272;752919;0;19937;76487;1685609;-12499;77200;2599653;1846734;-6093619
1312;13;12;PDL;5776630;1246856;0;255889;23883;2113;0;55567;1584308;337452;-4192322
1401;14;1;AURA;13284005;278833;19145877;149937;37036;6212749;-905392;159711;25078751;5654041;11794746
1401;14;1;B;4789670;125115;0;400319;10076;115792;-9373;46089;688018;562903;-4101652
1401;14;1;BFC;4318017;180216;0;76799;11002;266880;-10;27410;562297;382081;-3755720
1401;14;1;CVDL;4056152;109579;16021794;428428;11028;46007;0;75195;16692031;560658;12635879
1401;14;1;GE;9176952;1473126;16129282;1070816;26283;1420758;-208840;123053;20034478;2432070;10857526
1401;14;1;HF;10444971;994197;8007157;1049806;5843;2968;0;142358;10202329;1200975;-242642
1401;14;1;IDF;15258335;671478;0;10895;3097;3641;0;230228;919339;247861;-14338996
1401;14;1;N;5732396;799561;14697103;313095;5752;32035;0;91564;15939110;442446;10206714
1401;14;1;NlleA;9002626;155772;7739711;197796;62129;1040391;0;182993;9378792;1483309;376166
1401;14;1;O;7640007;93260;3581356;379179;80661;2753701;-427843;127938;6588252;2913636;-1051755
1401;14;1;PACA;8641517;573479;0;16460;69075;1975801;-11714;99832;2722933;2149454;-5918584
1401;14;1;PDL;5749177;752033;0;288184;19178;5367;0;60527;1125289;373256;-4623888
1402;14;2;AURA;11942791;249198;16208112;160443;53337;5811853;-742387;151459;21892015;5434705;9949224
1402;14;2;B;4329333;108655;0;437819;16469;98144;-7875;41790;695002;586347;-3634331
1402;14;2;BFC;3882096;132564;0;101986;16289;166434;-23;25569;442819;310255;-3439277
1402;14;2;CVDL;3653607;102905;13898036;544385;19446;56944;0;65986;14687702;686761;11034095
1402;14;2;GE;8317101;1584569;14716662;1219855;36723;1250711;-215065;113828;18707283;2406052;10390182
1402;14;2;HF;9343859;851514;6686554;1124912;10314;2684;0;127798;8803776;1265708;-540083
1402;14;2;IDF;13530928;378125;0;13026;5868;1457;0;222673;621149;243024;-12909779
1402;14;2;N;5192682;804745;10337523;332869;11160;30349;0;90253;11606899;464631;6414217
1402;14;2;NlleA;8366058;175530;7616884;257008;96312;1189986;0;186797;9522517;1730103;1156459
1402;14;2;O;6908445;86033;3276999;396010;124001;3316062;-396469;114483;6917119;3554087;8674
1402;14;2;PACA;7851725;422583;0;16535;88200;2026330;-4158;79323;2628813;2206230;-5222912
1402;14;2;PDL;5237574;280836;0;359581;34425;3973;0;55047;733862;453026;-4503712
1403;14;3;AURA;11869099;279807;15419848;141060;119070;5546448;-721850;163052;20947435;5247780;9078336
1403;14;3;B;4178341;122013;0;220648;30526;113635;-7441;50730;530111;408098;-3648230
