Regions;YYMM;YY;MM;Temperature;Vent;Humidite;Precipitations
AURA;1301;13;1;2.818548387;4.879032258;75.22983871;0.399193548
AURA;1302;13;2;1.290178571;5.080357143;69.64285714;0.303571429
AURA;1303;13;3;6.22983871;3.653225806;70.89516129;0.77016129
AURA;1304;13;4;10.25833333;3.620833333;68.8125;0.829166667
AURA;1305;13;5;11.44354839;3.491935484;71.18951613;1.5
AURA;1306;13;6;17.30416667;4.154166667;60.72083333;0.366666667
AURA;1307;13;7;22.18951613;3.693548387;59.23387097;0.947580645
AURA;1308;13;8;20.125;3.802419355;60.4516129;0.762096774
AURA;1309;13;9;17.0125;3.441666667;65.63333333;0.770833333
AURA;1310;13;10;14.43548387;3.266129032;76.9233871;0.991935484
AURA;1311;13;11;5.8;4.8125;75.64166667;0.7125
AURA;1312;13;12;4.475806452;3.866935484;76.81048387;0.560483871
AURA;1401;14;1;6.189516129;2.451612903;81.58467742;1.209677419
AURA;1402;14;2;6.540178571;2.446428571;77.69642857;1.026785714
AURA;1403;14;3;8.564516129;3.641129032;65.30645161;0.294354839
AURA;1404;14;4;11.99583333;3.883333333;61.98333333;0.5125
AURA;1405;14;5;13.98790323;4.27016129;60.36693548;0.608870968
AURA;1406;14;6;19.89583333;3.995833333;52.78333333;0.5
AURA;1407;14;7;19.19354839;3.512096774;69.02419355;1.580645161
AURA;1408;14;8;18.49596774;3.471774194;62.23387097;0.737903226
AURA;1409;14;9;17.32916667;3.466666667;69.11666667;1.041666667
AURA;1410;14;10;14.68548387;2.677419355;78.80241935;1.201612903
AURA;1411;14;11;9.958333333;2.454166667;86.26666667;2.2
AURA;1412;14;12;4.524193548;4.923387097;75.20967742;0.310483871
AURA;1501;15;1;4.052419355;4.10483871;76.14112903;0.72983871
AURA;1502;15;2;2.90625;5.017857143;71.16964286;0.433035714
AURA;1503;15;3;8.14516129;3.850806452;67.37096774;0.39516129
AURA;1504;15;4;12.0125;3.6;60.675;0.620833333
AURA;1505;15;5;15.91532258;4.35483871;59.10483871;0.278225806
AURA;1506;15;6;20.37916667;3.7;57.80416667;0.716666667
AURA;1507;15;7;24.14919355;3.810483871;46.98387097;0.209677419
AURA;1508;15;8;21.59274194;3.342741935;56.4516129;0.782258065
AURA;1509;15;9;15.30416667;4.175;64.29166667;1.775
AURA;1510;15;10;10.62096774;3.548387097;76.51612903;0.798387097
AURA;1511;15;11;9.066666667;3.6625;74.5625;0.3625
AURA;1512;15;12;8.080645161;1.89516129;82.95967742;0.129032258
AURA;1601;16;1;5.850806452;2.004032258;82.03629032;0.572580645
AURA;1602;16;2;6.112068966;3.349137931;74.01724138;0.517241379
AURA;1603;16;3;6.532258065;4.076612903;67.29032258;0.568548387
AURA;1604;16;4;10.35416667;3.975;65.74166667;0.979166667
AURA;1605;16;5;13.85887097;3.721774194;65.32258065;0.983870968
AURA;1606;16;6;18.35;3.183333333;63.475;0.95
AURA;1607;16;7;21.21774194;4.044354839;58.18145161;0.596774194
AURA;1608;16;8;21.10080645;3.717741935;56.79435484;0.350806452
AURA;1609;16;9;18.62083333;3.333333333;62.9875;0.4625
AURA;1610;16;10;10.74596774;3.939516129;75.69758065;1.225806452
AURA;1611;16;11;7.7125;3.3125;79.5875;1.066666667
AURA;1612;16;12;3.056451613;4.334677419;79.43548387;0.185483871
AURA;1701;17;1;0.463709677;5.290322581;70.41935484;0.306451613
AURA;1702;17;2;7.4375;3.0625;72.00446429;0.3125
AURA;1703;17;3;10.01612903;3.608870968;67.17741935;0.600806452
AURA;1704;17;4;10.575;5.104166667;55.36666667;0.458333333
AURA;1705;17;5;15.5;2.963709677;66.53629032;1.189516129
AURA;1706;17;6;21.14166667;3.416666667;59.8125;0.766666667
AURA;1707;17;7;21.76209677;3.431451613;54.50806452;0.439516129
AURA;1708;17;8;21.81048387;3.709677419;53.14112903;0.693548387
AURA;1709;17;9;15.14583333;2.9375;58.5375;0.3375
AURA;1710;17;10;13.36693548;3.899193548;64.55645161;0.076612903
AURA;1711;17;11;6.2375;4.55;68.9625;0.595833333
AURA;1712;17;12;3.955645161;4.125;78.43548387;0.568548387
AURA;1801;18;1;7.217741935;2.975806452;78.18145161;0.97983871
AURA;1802;18;2;1.553571429;4.879464286;64.40625;0.348214286
AURA;1803;18;3;7.213709677;2.991935484;69.78629032;1.004032258
AURA;1804;18;4;13.425;3.0375;64.675;0.670833333
AURA;1805;18;5;15.37096774;3.10483871;70.63306452;1.282258065
AURA;1806;18;6;19.35416667;3.920833333;62.02916667;0.775
AURA;1807;18;7;22.83064516;3.637096774;53.22580645;0.75
AURA;1808;18;8;22.22983871;3.806451613;56.5;0.278225806
AURA;1809;18;9;18.49166667;3.383333333;59.04166667;0.3875
AURA;1810;18;10;13;4.10483871;71.72580645;0.778225806
AURA;1811;18;11;8.470833333;2.754166667;84.34166667;1.391666667
AURA;1812;18;12;5.822580645;3.564516129;81.10080645;0.383064516
AURA;1901;19;1;2.721774194;5.487903226;67.75806452;0.254032258
AURA;1902;19;2;6.09375;3.165178571;71.67857143;0.370535714
AURA;1903;19;3;8.935483871;3.733870968;57.80645161;0.241935484
AURA;1904;19;4;10.5125;3.558333333;63.82083333;0.891666667
AURA;1905;19;5;13.15725806;4.616935484;58.92741935;0.431451613
AURA;1906;19;6;20.40833333;3.15;60.14583333;0.95
AURA;1907;19;7;23.30645161;3.745967742;51.375;0.471774194
AURA;1908;19;8;21.59274194;3.745967742;54.60887097;0.495967742
AURA;1909;19;9;17.74583333;3.733333333;54.00416667;0.279166667
AURA;1910;19;10;14.33870968;2.927419355;72.88709677;1.338709677
AURA;1911;19;11;7.216666667;2.520833333;80.675;1.2
AURA;1912;19;12;6.649193548;3.266129032;76.22177419;0.72983871
AURA;2001;20;1;5.286290323;3.044354839;75.64112903;0.169354839
AURA;2002;20;2;7.926724138;2.827586207;68.89224138;0.293103448
AURA;2003;20;3;8.262096774;3.443548387;62.35080645;0.379032258
AURA;2004;20;4;13.41666667;2.108333333;62.70416667;0.391666667
AURA;2005;20;5;16.20564516;4.254032258;60.05241935;0.72983871
AURA;2006;20;6;18.42083333;3.395833333;57.64583333;1.491666667
AURA;2007;20;7;22.40725806;3.899193548;50.85483871;0.375
AURA;2008;20;8;22.29435484;3.318548387;55.99596774;0.971774194
AURA;2009;20;9;17.85416667;2.941666667;64.5625;0.666666667
AURA;2010;20;10;11.83064516;3.22983871;75.9516129;0.701612903
AURA;2011;20;11;8.895833333;3.0125;78.9875;0.254166667
AURA;2012;20;12;5.556451613;2.516129032;84.63709677;1.072580645
AURA;2101;21;1;3.133064516;4.298387097;75.23387097;0.653225806
