Dates;Nucléaire;Avg_nucleaire
2013-01-01 00:00:00;50218.2;51234.503703703704
2013-01-01 03:00:00;45954.0;49170.57407407407
2013-01-01 06:00:00;43695.0;48350.14814814815
2013-01-01 09:00:00;46448.0;49156.35185185186
2013-01-01 12:00:00;49709.83333333334;50113.81481481482
2013-01-01 15:00:00;51825.16666666666;50869.75925925925
2013-01-01 18:00:00;53796.33333333334;52622.462962962956
2013-01-01 21:00:00;53935.66666666666;52618.166666666664
2013-01-02 00:00:00;53175.16666666666;51265.74074074074
2013-01-02 03:00:00;52052.83333333334;49732.61111111111
2013-01-02 06:00:00;56121.83333333334;52531.75925925926
2013-01-02 09:00:00;57084.5;54533.666666666664
2013-01-02 12:00:00;57148.0;54627.981481481496
2013-01-02 15:00:00;56943.83333333334;54477.111111111095
2013-01-02 18:00:00;57462.33333333334;54894.018518518504
2013-01-02 21:00:00;56217.66666666666;54249.0
2013-01-03 00:00:00;55102.83333333334;52682.444444444445
2013-01-03 03:00:00;52730.5;50369.62962962963
2013-01-03 06:00:00;55778.16666666666;52522.42592592593
2013-01-03 09:00:00;56134.33333333334;54173.018518518526
2013-01-03 12:00:00;55672.66666666666;54288.48148148149
2013-01-03 15:00:00;55501.0;54252.20370370371
2013-01-03 18:00:00;55873.33333333334;54504.75925925926
2013-01-03 21:00:00;55355.16666666666;53847.055555555555
2013-01-04 00:00:00;55258.5;52194.87037037039
2013-01-04 03:00:00;52083.83333333334;50719.9074074074
2013-01-04 06:00:00;55529.66666666666;53175.537037037015
2013-01-04 09:00:00;56977.66666666666;54475.42592592592
2013-01-04 12:00:00;57272.66666666666;54598.24074074074
2013-01-04 15:00:00;57038.33333333334;54508.388888888905
2013-01-04 18:00:00;57264.16666666666;54983.88888888889
2013-01-04 21:00:00;56122.16666666666;54305.092592592584
2013-01-05 00:00:00;55555.83333333334;53201.129629629635
2013-01-05 03:00:00;51711.0;51671.88888888889
2013-01-05 06:00:00;53806.0;53444.74074074072
2013-01-05 09:00:00;55904.83333333334;54547.94444444446
2013-01-05 12:00:00;56242.5;54839.62962962963
2013-01-05 15:00:00;55979.66666666666;54873.0
2013-01-05 18:00:00;56511.66666666666;55206.333333333336
2013-01-05 21:00:00;55372.16666666666;54640.27777777778
2013-01-06 00:00:00;54179.83333333334;53926.35185185186
2013-01-06 03:00:00;51464.5;52935.51851851851
2013-01-06 06:00:00;52179.16666666666;54426.25925925926
2013-01-06 09:00:00;54474.5;55219.57407407408
2013-01-06 12:00:00;54975.66666666666;55195.92592592594
2013-01-06 15:00:00;55030.83333333334;55131.555555555555
2013-01-06 18:00:00;55892.83333333334;55467.79629629631
2013-01-06 21:00:00;55198.83333333334;55017.07407407407
2013-01-07 00:00:00;55165.5;54108.0925925926
2013-01-07 03:00:00;55192.16666666666;52994.74074074074
2013-01-07 06:00:00;56875.0;54813.79629629629
2013-01-07 09:00:00;57119.66666666666;55311.70370370369
2013-01-07 12:00:00;56669.83333333334;55445.77777777778
2013-01-07 15:00:00;56682.83333333334;55359.22222222221
2013-01-07 18:00:00;56699.0;55553.25925925928
2013-01-07 21:00:00;56180.5;55096.29629629629
2013-01-08 00:00:00;56366.33333333334;54640.12962962961
2013-01-08 03:00:00;55809.66666666666;53290.5925925926
2013-01-08 06:00:00;56910.33333333334;55465.22222222222
2013-01-08 09:00:00;57357.16666666666;55896.27777777778
2013-01-08 12:00:00;57403.83333333334;55723.92592592593
2013-01-08 15:00:00;57496.66666666666;55547.388888888876
2013-01-08 18:00:00;57848.66666666666;56014.92592592593
2013-01-08 21:00:00;58310.0;55449.092592592584
2013-01-09 00:00:00;58068.0;54273.42592592592
2013-01-09 03:00:00;57710.83333333334;52937.833333333336
2013-01-09 06:00:00;58514.0;54606.07407407407
2013-01-09 09:00:00;58655.66666666666;55292.833333333336
2013-01-09 12:00:00;58638.83333333334;55262.44444444446
2013-01-09 15:00:00;58616.0;54872.333333333336
2013-01-09 18:00:00;58638.0;55031.85185185185
2013-01-09 21:00:00;58626.16666666666;54457.22222222222
2013-01-10 00:00:00;58338.83333333334;53838.75925925926
2013-01-10 03:00:00;57635.83333333334;52830.79629629629
2013-01-10 06:00:00;58372.16666666666;53688.05555555554
2013-01-10 09:00:00;58452.66666666666;54636.03703703703
2013-01-10 12:00:00;58326.16666666666;54901.85185185185
2013-01-10 15:00:00;58038.33333333334;54741.629629629635
2013-01-10 18:00:00;58509.33333333334;55687.666666666664
2013-01-10 21:00:00;57797.33333333334;55215.481481481474
2013-01-11 00:00:00;57263.16666666666;54455.66666666666
2013-01-11 03:00:00;57049.66666666666;53506.611111111095
2013-01-11 06:00:00;58635.33333333334;54414.981481481474
2013-01-11 09:00:00;58919.5;55663.166666666664
2013-01-11 12:00:00;58610.5;55598.38888888889
2013-01-11 15:00:00;58565.66666666666;55219.51851851851
2013-01-11 18:00:00;58973.5;56023.444444444445
2013-01-11 21:00:00;58511.66666666666;55681.888888888905
2013-01-12 00:00:00;58071.66666666666;55118.4074074074
2013-01-12 03:00:00;57338.0;54076.94444444443
2013-01-12 06:00:00;57711.5;54984.6851851852
2013-01-12 09:00:00;58163.66666666666;55531.055555555555
2013-01-12 12:00:00;58085.83333333334;55592.72222222222
2013-01-12 15:00:00;58235.5;55585.018518518526
2013-01-12 18:00:00;58770.0;55886.129629629635
2013-01-12 21:00:00;58093.66666666666;55231.25925925926
2013-01-13 00:00:00;57827.66666666666;54561.8148148148
2013-01-13 03:00:00;56503.66666666666;53584.75925925925
2013-01-13 06:00:00;57033.5;54733.75925925926
2013-01-13 09:00:00;57742.66666666666;55504.57407407407
2013-01-13 12:00:00;58100.16666666666;55414.27777777779
2013-01-13 15:00:00;57940.66666666666;55095.999999999985
2013-01-13 18:00:00;58847.33333333334;55538.166666666664
2013-01-13 21:00:00;58360.66666666666;55055.22222222222
2013-01-14 00:00:00;57731.16666666666;54251.57407407407
2013-01-14 03:00:00;58097.5;53089.907407407416
2013-01-14 06:00:00;58825.5;55023.833333333336
2013-01-14 09:00:00;58851.5;55509.092592592584
2013-01-14 12:00:00;58843.33333333334;55346.46296296295
2013-01-14 15:00:00;58839.5;55034.166666666664
2013-01-14 18:00:00;58965.83333333334;55140.592592592584
2013-01-14 21:00:00;58499.0;54791.962962962956
2013-01-15 00:00:00;58004.5;54413.59259259261
2013-01-15 03:00:00;58311.5;53303.018518518526
2013-01-15 06:00:00;58718.33333333334;55158.61111111111
2013-01-15 09:00:00;58874.66666666666;55610.88888888889
2013-01-15 12:00:00;58945.0;55446.75925925925
2013-01-15 15:00:00;58872.66666666666;55285.388888888876
2013-01-15 18:00:00;59014.66666666666;55465.555555555555
2013-01-15 21:00:00;58111.83333333334;54985.07407407407
2013-01-16 00:00:00;56665.83333333334;54458.833333333336
2013-01-16 03:00:00;56537.5;53627.38888888889
2013-01-16 06:00:00;57307.5;55209.333333333336
2013-01-16 09:00:00;57449.83333333334;55663.96296296297
2013-01-16 12:00:00;57517.83333333334;55605.166666666664
2013-01-16 15:00:00;57457.33333333334;55306.981481481474
2013-01-16 18:00:00;57473.66666666666;55411.944444444445
2013-01-16 21:00:00;57371.0;54908.51851851851
2013-01-17 00:00:00;57020.66666666666;54314.48148148149
2013-01-17 03:00:00;56816.5;53680.5925925926
2013-01-17 06:00:00;57860.33333333334;55092.166666666664
2013-01-17 09:00:00;57829.5;55563.87037037037
2013-01-17 12:00:00;57825.33333333334;55506.14814814815
2013-01-17 15:00:00;57849.5;55425.85185185185
2013-01-17 18:00:00;57990.16666666666;55896.38888888889
2013-01-17 21:00:00;58485.33333333334;55750.648148148124
2013-01-18 00:00:00;58287.33333333334;55267.499999999985
2013-01-18 03:00:00;57887.5;54580.64814814817
2013-01-18 06:00:00;58518.33333333334;55417.055555555555
2013-01-18 09:00:00;58580.0;55916.0
2013-01-18 12:00:00;58603.66666666666;55860.07407407407
2013-01-18 15:00:00;58653.33333333334;55721.111111111124
2013-01-18 18:00:00;58654.33333333334;55744.33333333332
2013-01-18 21:00:00;58262.5;55332.037037037044
2013-01-19 00:00:00;58278.16666666666;54611.555555555555
2013-01-19 03:00:00;58075.5;53972.33333333334
2013-01-19 06:00:00;58260.0;54710.48148148149
2013-01-19 09:00:00;58480.33333333334;55145.888888888876
2013-01-19 12:00:00;58556.5;55091.962962962956
2013-01-19 15:00:00;58581.33333333334;54890.22222222222
2013-01-19 18:00:00;58848.33333333334;55082.88888888889
2013-01-19 21:00:00;58541.0;55020.8148148148
2013-01-20 00:00:00;58390.33333333334;54784.129629629635
2013-01-20 03:00:00;56580.5;54205.38888888889
2013-01-20 06:00:00;56890.16666666666;55106.111111111095
2013-01-20 09:00:00;57894.33333333334;55498.944444444445
2013-01-20 12:00:00;57980.33333333334;55561.0
2013-01-20 15:00:00;57372.0;55466.51851851851
2013-01-20 18:00:00;58010.0;55795.499999999985
2013-01-20 21:00:00;57991.83333333334;55316.72222222222
2013-01-21 00:00:00;57403.5;54890.24074074074
2013-01-21 03:00:00;56709.16666666666;54513.29629629631
2013-01-21 06:00:00;57750.83333333334;55376.51851851851
2013-01-21 09:00:00;57373.16666666666;55587.555555555555
2013-01-21 12:00:00;57536.83333333334;55395.81481481482
2013-01-21 15:00:00;57542.66666666666;55475.3148148148
2013-01-21 18:00:00;57585.33333333334;55766.24074074074
2013-01-21 21:00:00;57540.66666666666;55569.11111111111
2013-01-22 00:00:00;56841.16666666666;55084.79629629629
2013-01-22 03:00:00;56492.33333333334;54511.16666666668
2013-01-22 06:00:00;57378.0;55675.42592592593
2013-01-22 09:00:00;57898.0;56079.962962962956
2013-01-22 12:00:00;57946.16666666666;56069.07407407407
2013-01-22 15:00:00;57792.0;55857.5
2013-01-22 18:00:00;57799.33333333334;55981.35185185186
2013-01-22 21:00:00;57459.83333333334;55806.12962962963
2013-01-23 00:00:00;56788.16666666666;55253.05555555554
2013-01-23 03:00:00;57035.16666666666;54966.444444444445
2013-01-23 06:00:00;57715.5;55814.055555555555
2013-01-23 09:00:00;57986.66666666666;56121.42592592593
2013-01-23 12:00:00;58039.33333333334;56203.46296296297
2013-01-23 15:00:00;57996.33333333334;56171.25925925926
2013-01-23 18:00:00;58050.16666666666;56261.29629629631
2013-01-23 21:00:00;57348.83333333334;55832.55555555557
2013-01-24 00:00:00;57118.0;55337.092592592584
2013-01-24 03:00:00;57086.66666666666;54494.833333333336
2013-01-24 06:00:00;57889.33333333334;55637.74074074075
2013-01-24 09:00:00;58054.66666666666;56312.77777777778
2013-01-24 12:00:00;58068.0;56299.42592592592
2013-01-24 15:00:00;58045.83333333334;56011.48148148149
2013-01-24 18:00:00;58083.16666666666;56342.05555555554
2013-01-24 21:00:00;57891.5;55756.129629629635
2013-01-25 00:00:00;57648.16666666666;55048.481481481474
2013-01-25 03:00:00;57495.16666666666;54772.6851851852
2013-01-25 06:00:00;58260.83333333334;55732.70370370371
2013-01-25 09:00:00;58559.5;56102.388888888876
2013-01-25 12:00:00;58731.16666666666;55982.42592592593
2013-01-25 15:00:00;58660.66666666666;55773.25925925926
2013-01-25 18:00:00;58840.33333333334;55930.53703703705
2013-01-25 21:00:00;58743.0;55745.24074074075
2013-01-26 00:00:00;58431.33333333334;55225.75925925925
2013-01-26 03:00:00;57689.33333333334;54363.24074074074
2013-01-26 06:00:00;58175.83333333334;55038.5925925926
2013-01-26 09:00:00;58368.83333333334;55406.88888888889
2013-01-26 12:00:00;58375.66666666666;55220.51851851851
2013-01-26 15:00:00;57982.16666666666;54911.981481481474
2013-01-26 18:00:00;58424.5;55293.07407407407
2013-01-26 21:00:00;58142.0;55035.333333333336
2013-01-27 00:00:00;57473.33333333334;54606.25925925926
2013-01-27 03:00:00;55803.33333333334;53586.0925925926
2013-01-27 06:00:00;56118.0;54823.20370370371
2013-01-27 09:00:00;57592.16666666666;55651.53703703703
2013-01-27 12:00:00;56856.33333333334;55584.81481481482
2013-01-27 15:00:00;56498.83333333334;55542.685185185204
2013-01-27 18:00:00;57174.16666666666;55785.092592592584
2013-01-27 21:00:00;56714.16666666666;55292.18518518518
2013-01-28 00:00:00;56238.83333333334;54577.018518518526
2013-01-28 03:00:00;56296.83333333334;53820.72222222222
2013-01-28 06:00:00;57498.16666666666;55086.01851851851
2013-01-28 09:00:00;57823.0;55642.129629629635
2013-01-28 12:00:00;57670.5;55571.5925925926
2013-01-28 15:00:00;57348.0;55319.64814814815
2013-01-28 18:00:00;57616.16666666666;55681.64814814814
2013-01-28 21:00:00;56963.33333333334;55036.166666666664
2013-01-29 00:00:00;56475.0;54231.981481481496
2013-01-29 03:00:00;54740.0;53072.3148148148
2013-01-29 06:00:00;57318.33333333334;54917.907407407416
2013-01-29 09:00:00;57645.66666666666;55298.55555555557
2013-01-29 12:00:00;57566.16666666666;55087.81481481482
2013-01-29 15:00:00;56581.66666666666;54689.29629629631
2013-01-29 18:00:00;56687.0;54764.48148148149
2013-01-29 21:00:00;56529.83333333334;54395.833333333336
2013-01-30 00:00:00;56060.33333333334;54196.8148148148
2013-01-30 03:00:00;52752.33333333334;53179.51851851851
2013-01-30 06:00:00;56953.66666666666;54388.79629629628
2013-01-30 09:00:00;57564.83333333334;55015.74074074075
2013-01-30 12:00:00;57127.5;55046.88888888889
2013-01-30 15:00:00;55620.0;54885.24074074075
2013-01-30 18:00:00;55889.16666666666;55223.35185185186
2013-01-30 21:00:00;54986.66666666666;54345.944444444445
2013-01-31 00:00:00;55153.16666666666;53456.12962962963
2013-01-31 03:00:00;54384.33333333334;52180.61111111111
2013-01-31 06:00:00;55941.5;53406.57407407407
2013-01-31 09:00:00;56238.16666666666;54234.6851851852
2013-01-31 12:00:00;55866.33333333334;54184.61111111111
2013-01-31 15:00:00;55415.16666666666;53875.64814814815
2013-01-31 18:00:00;56885.16666666666;54577.62962962963
2013-01-31 21:00:00;56097.83333333334;54245.05555555557
2013-02-01 00:00:00;55469.0;53361.518518518526
2013-02-01 03:00:00;52603.33333333334;51981.87037037037
2013-02-01 06:00:00;56150.83333333334;53733.11111111111
2013-02-01 09:00:00;57405.83333333334;54801.555555555555
2013-02-01 12:00:00;56627.5;54593.72222222222
2013-02-01 15:00:00;56561.5;54462.96296296295
2013-02-01 18:00:00;56563.83333333334;55072.81481481482
2013-02-01 21:00:00;55431.66666666666;54412.74074074075
2013-02-02 00:00:00;54927.16666666666;53820.166666666664
2013-02-02 03:00:00;53599.83333333334;52063.92592592593
2013-02-02 06:00:00;54591.0;53460.85185185185
2013-02-02 09:00:00;55311.5;54649.38888888889
2013-02-02 12:00:00;55028.83333333334;54704.68518518518
2013-02-02 15:00:00;55236.33333333334;54495.055555555555
2013-02-02 18:00:00;55904.16666666666;55197.38888888889
2013-02-02 21:00:00;55411.16666666666;54420.9074074074
2013-02-03 00:00:00;53971.0;53127.83333333334
2013-02-03 03:00:00;52492.16666666666;51854.79629629629
2013-02-03 06:00:00;52961.83333333334;53883.22222222222
2013-02-03 09:00:00;54464.16666666666;54781.666666666664
2013-02-03 12:00:00;54773.33333333334;54613.611111111095
2013-02-03 15:00:00;54292.66666666666;54371.98148148149
2013-02-03 18:00:00;55539.66666666666;54798.333333333336
2013-02-03 21:00:00;55434.66666666666;54499.72222222221
2013-02-04 00:00:00;55092.66666666666;53778.092592592584
2013-02-04 03:00:00;53521.5;53131.31481481482
2013-02-04 06:00:00;55411.33333333334;54209.666666666664
2013-02-04 09:00:00;55886.83333333334;54717.94444444443
2013-02-04 12:00:00;55953.66666666666;54927.14814814815
2013-02-04 15:00:00;55557.0;54833.01851851851
2013-02-04 18:00:00;55887.66666666666;55074.129629629635
2013-02-04 21:00:00;55468.33333333334;54796.0925925926
2013-02-05 00:00:00;55244.66666666666;54598.07407407407
2013-02-05 03:00:00;53691.33333333334;54151.77777777778
2013-02-05 06:00:00;55784.66666666666;54692.51851851851
2013-02-05 09:00:00;56143.33333333334;54948.16666666668
2013-02-05 12:00:00;55508.33333333334;54927.870370370365
2013-02-05 15:00:00;54673.66666666666;54710.03703703703
2013-02-05 18:00:00;54704.16666666666;54616.98148148149
2013-02-05 21:00:00;54764.0;54110.537037037044
2013-02-06 00:00:00;54768.83333333334;53380.0925925926
2013-02-06 03:00:00;54918.66666666666;52783.444444444445
2013-02-06 06:00:00;55161.5;53678.833333333336
2013-02-06 09:00:00;55272.0;53976.29629629629
2013-02-06 12:00:00;55223.5;53882.9074074074
2013-02-06 15:00:00;55193.33333333334;53495.05555555557
2013-02-06 18:00:00;55369.33333333334;53684.5
2013-02-06 21:00:00;55962.0;53398.055555555555
2013-02-07 00:00:00;55332.33333333334;52731.962962962956
2013-02-07 03:00:00;54422.0;51518.11111111111
2013-02-07 06:00:00;55084.66666666666;52734.85185185186
2013-02-07 09:00:00;55117.33333333334;53219.407407407416
2013-02-07 12:00:00;55112.16666666666;53172.29629629631
2013-02-07 15:00:00;55119.83333333334;53068.22222222223
2013-02-07 18:00:00;55214.0;53549.88888888889
2013-02-07 21:00:00;55027.16666666666;53361.462962962956
2013-02-08 00:00:00;55095.0;52622.25925925926
2013-02-08 03:00:00;54882.66666666666;51703.74074074074
2013-02-08 06:00:00;56217.0;53184.35185185186
2013-02-08 09:00:00;56263.0;53632.092592592584
2013-02-08 12:00:00;56201.83333333334;53885.81481481482
2013-02-08 15:00:00;56040.0;53793.1851851852
2013-02-08 18:00:00;56193.5;54110.0
2013-02-08 21:00:00;55410.66666666666;53679.500000000015
2013-02-09 00:00:00;54115.83333333334;52471.88888888889
2013-02-09 03:00:00;53523.83333333334;50775.555555555555
2013-02-09 06:00:00;54019.0;51629.629629629635
2013-02-09 09:00:00;54245.16666666666;52814.462962962956
2013-02-09 12:00:00;54221.83333333334;52598.62962962963
2013-02-09 15:00:00;54010.5;52472.05555555554
2013-02-09 18:00:00;54274.66666666666;53277.5
2013-02-09 21:00:00;54288.66666666666;53126.38888888889
2013-02-10 00:00:00;54876.16666666666;52110.03703703703
2013-02-10 03:00:00;54249.0;51075.27777777777
2013-02-10 06:00:00;54587.0;52613.166666666664
2013-02-10 09:00:00;55647.33333333334;53737.24074074074
2013-02-10 12:00:00;55632.83333333334;53843.70370370371
2013-02-10 15:00:00;55382.83333333334;53760.62962962963
2013-02-10 18:00:00;55965.33333333334;53904.407407407416
2013-02-10 21:00:00;55706.66666666666;53592.92592592593
2013-02-11 00:00:00;55278.0;52946.18518518518
2013-02-11 03:00:00;55367.0;51975.75925925926
2013-02-11 06:00:00;56098.16666666666;53813.35185185183
2013-02-11 09:00:00;56457.66666666666;54187.555555555555
2013-02-11 12:00:00;56551.16666666666;54020.29629629629
2013-02-11 15:00:00;56462.83333333334;53718.48148148149
2013-02-11 18:00:00;56542.66666666666;53883.20370370371
2013-02-11 21:00:00;56365.0;53764.07407407407
2013-02-12 00:00:00;56237.33333333334;53497.833333333336
2013-02-12 03:00:00;56133.16666666666;53364.888888888876
2013-02-12 06:00:00;56486.66666666666;54042.27777777778
2013-02-12 09:00:00;56564.16666666666;54261.79629629628
2013-02-12 12:00:00;56560.83333333334;54142.29629629629
2013-02-12 15:00:00;56558.83333333334;53993.22222222222
2013-02-12 18:00:00;55835.66666666666;53996.42592592592
2013-02-12 21:00:00;55817.66666666666;53574.01851851851
2013-02-13 00:00:00;55363.0;53199.129629629635
2013-02-13 03:00:00;55434.5;52836.85185185185
2013-02-13 06:00:00;56137.0;53556.79629629629
2013-02-13 09:00:00;56273.0;53750.0925925926
2013-02-13 12:00:00;56292.5;53501.72222222222
2013-02-13 15:00:00;56281.16666666666;53225.666666666664
2013-02-13 18:00:00;56336.16666666666;53245.07407407408
2013-02-13 21:00:00;55963.0;52973.037037037044
2013-02-14 00:00:00;55815.66666666666;52438.29629629629
2013-02-14 03:00:00;56176.5;51883.48148148149
2013-02-14 06:00:00;56765.33333333334;52494.64814814815
